Algo,Size of Input,Type of Input,Timing
Jarvis March,50,Random Scatter,0.0010020732879638672
Jarvis March,100,Random Scatter,0.0029566287994384766
Jarvis March,500,Random Scatter,0.03397655487060547
Jarvis March,1000,Random Scatter,0.042978763580322266
Jarvis March,50,Circle,0.018981456756591797
Jarvis March,100,Circle,0.03397941589355469
Jarvis March,500,Circle,0.3050057888031006
Jarvis March,1000,Circle,1.1859948635101318
Graham Scan,50,Circle,0.001585245132446289
Graham Scan,100,Circle,0.002016305923461914
Graham Scan,500,Circle,0.003991365432739258
Graham Scan,1000,Circle,0.01602649688720703
Graham Scan,50,Random Scatter,0.007988452911376953
Graham Scan,100,Random Scatter,0.009997844696044922
Graham Scan,500,Random Scatter,0.018000125885009766
Graham Scan,1000,Random Scatter,0.018023014068603516
